id_siniestro,id_poliza,id_asegurado,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,descripcion,documentos_completos,beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,score_riesgo,nivel_riesgo,alertas_activadas,etiqueta_fraude_simulada
SIN-00001,POL-00106,ASE-0133,Salud,Incendio,2025-11-21,2025-12-02,5561.4,4693.12,4306.01,Pago Total,Ambato,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-026,97,268,11,0,0,Verde,,1
SIN-00002,POL-00228,ASE-0166,Vida,Dano,2024-06-30,2024-07-03,6694.05,5506.89,6229.92,Cierre Sin Consecuencia,Guayaquil,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-026,222,143,3,0,0,Verde,,0
SIN-00003,POL-00218,ASE-0018,Salud,Responsabilidad Civil,2025-10-15,2025-10-17,14012.24,13656.14,13369.78,Anticipo,Manta,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-006,279,86,2,0,0,Verde,,0
SIN-00004,POL-00037,ASE-0166,Salud,Atencion Medica,2024-04-27,2024-04-30,8271.66,7157.87,6315.87,Liquidado,Guayaquil,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-018,303,62,3,1,0,Verde,,0
SIN-00005,POL-00008,ASE-0097,Hogar,Choque,2025-05-18,2025-05-21,15163.06,15716.38,14081.57,Cierre Sin Consecuencia,Cuenca,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-003,96,269,3,0,0,Verde,,0
SIN-00006,POL-00254,ASE-0123,Vida,Responsabilidad Civil,2025-06-30,2025-07-15,10819.7,10137.58,8962.39,Pago Parcial,Quito Sur,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-009,110,255,15,0,0,Verde,,1
SIN-00007,POL-00129,ASE-0116,Generales,Responsabilidad Civil,2023-12-05,2023-12-05,30413.19,27723.24,22799.48,Cierre Sin Consecuencia,Quito Sur,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-026,158,207,0,5,0,Verde,,1
SIN-00008,POL-00198,ASE-0135,Vida,Robo,2024-05-25,2024-05-25,13140.09,11353.38,0.0,Negativa,Manta,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-038,78,287,0,0,0,Verde,,0
SIN-00009,POL-00198,ASE-0135,Vida,Robo,2024-09-29,2024-09-29,8543.21,9367.17,6319.01,Anticipo,Quito Norte,Se produjo un choque lateral al cambiar de carril en la autopista.,False,PROV-005,205,160,0,1,0,Verde,,1
SIN-00010,POL-00250,ASE-0065,Salud,Dano,2024-10-18,2024-10-19,28262.45,25854.95,27198.35,Negativa,Quito Norte,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-010,183,182,1,3,0,Verde,,1
SIN-00011,POL-00299,ASE-0075,Generales,Choque,2025-01-22,2025-01-23,5538.14,5958.86,4611.69,Reserva,Quito Sur,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-014,139,226,1,0,0,Verde,,0
SIN-00012,POL-00116,ASE-0088,Generales,Responsabilidad Civil,2025-10-18,2025-10-20,10827.43,11790.8,8033.4,Reserva,Quito Sur,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-018,226,139,2,0,0,Verde,,0
SIN-00013,POL-00007,ASE-0018,Salud,Atencion Medica,2024-03-11,2024-03-13,9765.93,8414.65,7388.84,Cierre Sin Consecuencia,Quito Norte,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-026,43,322,2,1,0,Verde,,0
SIN-00014,POL-00124,ASE-0013,Vehiculos,Atencion Medica,2024-07-31,2024-08-01,8495.37,8069.54,7293.16,Pago Parcial,Quito Sur,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-001,87,278,1,0,0,Verde,,0
SIN-00015,POL-00056,ASE-0183,Generales,Choque,2026-06-01,2026-06-03,6432.73,6200.55,0.0,Reserva,Ambato,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-031,245,120,2,0,0,Verde,,0
SIN-00016,POL-00105,ASE-0197,Salud,Incendio,2025-06-09,2025-06-14,6457.81,7004.17,5075.49,Anticipo,Manta,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-033,50,315,5,0,0,Verde,,1
SIN-00017,POL-00136,ASE-0122,Vehiculos,Robo,2025-06-23,2025-06-24,15318.41,13529.84,13072.6,Negativa,Guayaquil,"El vehiculo colisiono frontalmente con otro en la avenida principal, el tercero se dio a la fuga sin dejar datos.",True,PROV-014,305,60,1,0,0,Verde,,1
SIN-00018,POL-00228,ASE-0166,Vida,Robo,2024-01-23,2024-01-25,5293.92,5344.76,5050.08,Reserva,Cuenca,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-004,63,302,2,2,0,Verde,,0
SIN-00019,POL-00227,ASE-0015,Vehiculos,Responsabilidad Civil,2023-10-24,2023-10-26,10394.64,10392.81,7823.98,Pago Total,Manta,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-001,58,307,2,0,0,Verde,,0
SIN-00020,POL-00247,ASE-0176,Hogar,Responsabilidad Civil,2025-12-08,2025-12-10,7449.06,6332.36,0.0,Reserva,Quito Norte,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-018,207,158,2,0,0,Verde,,0
SIN-00021,POL-00031,ASE-0071,Generales,Incendio,2025-01-31,2025-01-31,5240.56,4605.85,4654.98,Negativa,Guayaquil,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-032,169,196,0,0,0,Verde,,0
SIN-00022,POL-00218,ASE-0018,Salud,Dano,2025-11-25,2025-11-26,12079.08,10995.66,0.0,Cierre Sin Consecuencia,Manta,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-007,320,45,1,2,0,Verde,,0
SIN-00023,POL-00295,ASE-0113,Vehiculos,Atencion Medica,2026-08-17,2026-08-17,16929.97,13767.64,13093.05,Anticipo,Quito Sur,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-031,290,75,0,0,0,Verde,,0
SIN-00024,POL-00218,ASE-0018,Salud,Atencion Medica,2025-02-26,2025-03-01,9499.13,8239.11,0.0,Liquidado,Quito Norte,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-021,48,317,3,3,0,Verde,,0
SIN-00025,POL-00179,ASE-0034,Generales,Choque,2023-12-07,2023-12-08,12538.41,10870.24,8949.65,Anticipo,Guayaquil,Robo del vehiculo en estacionamiento publico durante la madrugada.,False,PROV-026,56,309,1,0,0,Verde,,1
SIN-00026,POL-00126,ASE-0035,Vida,Atencion Medica,2024-10-05,2024-10-08,8483.87,6807.38,0.0,Cierre Sin Consecuencia,Ambato,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-037,313,52,3,0,0,Verde,,0
SIN-00027,POL-00240,ASE-0183,Salud,Choque,2024-12-17,2024-12-18,9391.22,9576.59,8816.4,Anticipo,Quito Norte,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-010,282,83,1,1,0,Verde,,0
SIN-00028,POL-00161,ASE-0165,Generales,Choque,2023-11-13,2023-11-15,11903.94,9528.37,11364.71,Pago Total,Ambato,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-020,34,331,2,0,0,Verde,,0
SIN-00029,POL-00153,ASE-0063,Vehiculos,Dano,2025-02-21,2025-02-22,5021.31,5089.08,0.0,Anticipo,Manta,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-015,60,305,1,0,0,Verde,,0
SIN-00030,POL-00263,ASE-0043,Generales,Dano,2024-07-12,2024-07-12,10697.3,10179.85,8753.66,Reserva,Cuenca,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-038,73,292,0,0,0,Verde,,0
SIN-00031,POL-00015,ASE-0053,Vida,Atencion Medica,2026-09-22,2026-09-24,6727.91,7251.43,6388.62,Anticipo,Guayaquil,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-021,163,202,2,0,0,Verde,,0
SIN-00032,POL-00135,ASE-0152,Vida,Incendio,2024-11-30,2024-12-09,9233.77,7688.89,0.0,Pago Parcial,Cuenca,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-029,99,266,9,0,0,Verde,,1
SIN-00033,POL-00046,ASE-0055,Vida,Choque,2025-09-06,2025-09-09,12501.03,11157.07,0.0,Pago Total,Manta,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-008,136,229,3,0,0,Verde,,0
SIN-00034,POL-00027,ASE-0051,Salud,Atencion Medica,2025-01-08,2025-01-09,11491.89,12075.42,8358.79,Anticipo,Ambato,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-016,50,315,1,0,0,Verde,,0
SIN-00035,POL-00186,ASE-0046,Generales,Robo,2026-02-07,2026-02-08,13790.76,11161.2,11524.39,Reserva,Cuenca,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-036,163,202,1,0,0,Verde,,0
SIN-00036,POL-00103,ASE-0148,Vehiculos,Robo,2024-04-20,2024-04-20,5044.31,4053.54,5017.93,Liquidado,Cuenca,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-009,101,264,0,0,0,Verde,,0
SIN-00037,POL-00099,ASE-0058,Vehiculos,Robo,2023-09-02,2023-09-04,6920.59,7441.22,0.0,Cierre Sin Consecuencia,Cuenca,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-005,73,292,2,0,0,Verde,,0
SIN-00038,POL-00091,ASE-0095,Vida,Incendio,2024-05-05,2024-05-14,5981.37,4861.71,4488.4,Liquidado,Manta,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-037,199,166,9,0,0,Verde,,1
SIN-00039,POL-00293,ASE-0140,Salud,Atencion Medica,2024-06-18,2024-06-21,15311.04,13042.59,0.0,Pago Parcial,Cuenca,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-012,225,140,3,0,0,Verde,,0
SIN-00040,POL-00287,ASE-0168,Hogar,Atencion Medica,2023-11-29,2023-12-01,5043.97,4790.09,4255.64,Anticipo,Quito Sur,"El vehiculo colisiono frontalmente con otro en la avenida principal, el tercero se dio a la fuga sin dejar datos.",True,PROV-006,155,210,2,0,0,Verde,,1
SIN-00041,POL-00291,ASE-0141,Generales,Responsabilidad Civil,2024-05-12,2024-05-13,8449.03,8358.0,7929.02,Pago Parcial,Cuenca,Caida de arbol sobre el vehiculo estacionado por tormenta.,True,PROV-025,299,66,1,0,0,Verde,,0
SIN-00042,POL-00284,ASE-0143,Salud,Dano,2026-03-23,2026-03-25,10030.91,9193.47,0.0,Pago Total,Quito Norte,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-021,319,46,2,0,0,Verde,,0
SIN-00043,POL-00010,ASE-0194,Generales,Robo,2026-04-06,2026-04-08,3636.94,3746.24,3608.55,Cierre Sin Consecuencia,Quito Sur,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-001,301,64,2,0,0,Verde,,1
SIN-00044,POL-00200,ASE-0182,Salud,Robo,2024-10-17,2024-10-18,7015.97,6824.49,5728.73,Pago Total,Ambato,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-012,58,307,1,0,0,Verde,,0
SIN-00045,POL-00106,ASE-0133,Salud,Dano,2026-03-17,2026-03-17,6834.33,6909.75,5947.89,Pago Total,Cuenca,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-010,213,152,0,1,0,Verde,,0
SIN-00046,POL-00086,ASE-0090,Hogar,Choque,2023-12-19,2023-12-19,17844.08,14575.94,12597.53,Pago Parcial,Ambato,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-031,49,316,0,0,0,Verde,,0
SIN-00047,POL-00035,ASE-0083,Generales,Robo,2025-10-28,2025-10-29,10053.49,10813.88,8013.4,Negativa,Manta,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-002,204,161,1,0,0,Verde,,0
SIN-00048,POL-00057,ASE-0070,Hogar,Dano,2026-03-29,2026-03-31,5572.35,6063.65,5475.26,Reserva,Guayaquil,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-026,299,66,2,0,0,Verde,,0
SIN-00049,POL-00033,ASE-0074,Vehiculos,Responsabilidad Civil,2024-07-21,2024-07-24,16519.05,17139.39,14780.49,Negativa,Manta,Dano por inundacion en el sotano de la propiedad asegurada.,True,PROV-012,110,255,3,0,0,Verde,,0
SIN-00050,POL-00120,ASE-0075,Hogar,Responsabilidad Civil,2026-05-13,2026-05-16,14462.79,12901.49,10676.5,Negativa,Cuenca,El vehiculo fue impactado por detras mientras estaba detenido en un semaforo.,True,PROV-001,119,246,3,1,0,Verde,,0
SIN-00051,POL-00218,ASE-0018,Salud,Robo,2025-07-20,2025-07-21,7609.88,7548.19,0.0,Pago Parcial,Manta,Se produjo un choque lateral al cambiar de carril en la autopista.,True,PROV-032,192,173,1,4,0,Verde,,0
SIN-00052,POL-00108,ASE-0065,Salud,Incendio,2026-05-29,2026-05-30,8385.97,8309.29,7937.31,Reserva,Guayaquil,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-022,193,172,1,1,0,Verde,,0
SIN-00053,POL-00281,ASE-0031,Salud,Choque,2024-09-27,2024-09-29,14918.41,13083.41,0.0,Anticipo,Cuenca,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-001,64,301,2,0,0,Verde,,0
SIN-00054,POL-00283,ASE-0148,Hogar,Dano,2026-03-17,2026-03-20,5719.86,6088.97,4647.98,Cierre Sin Consecuencia,Manta,Incendio en cocina del hogar asegurado por descuido con gas.,True,PROV-031,241,124,3,1,0,Verde,,0
SIN-00055,POL-00016,ASE-0075,Vida,Atencion Medica,2025-01-26,2025-01-26,10665.67,9476.16,10511.0,Pago Total,Cuenca,El asegurado reporta dano en la parte frontal tras colision con poste.,True,PROV-005,67,298,0,2,0,Verde,,0
SIN-00056,POL-00216,ASE-0048,Generales,Incendio,2024-06-06,2024-06-06,15251.61,13747.58,14763.07,Cierre Sin Consecuencia,Quito Sur,Colision en interseccion por semaforo en rojo del tercero.,True,PROV-002,310,55,0,0,0,Verde,,0
SIN-00057,POL-00167,ASE-0067,Hogar,Responsabilidad Civil,2026-07-04,2026-07-06,8575.53,7389.24,0.0,Cierre Sin Consecuencia,Ambato,Robo del vehiculo en estacionamiento publico durante la madrugada.,True,PROV-036,81,284,2,0,0,Verde,,0
